M_glc__D_e,M_o2_e,objective
-1.265958720000000000e+09,-3.610326720000000000e+09,0.000000000000000000e+00
-3.510000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00
-2.619741908934247458e+208,-1.439213814681224005e+208,8.109720686927915289e+206
-4.143582001331897867e+210,-2.268980499619165913e+210,1.283319364550099387e+209
-5.960749293804589048e+226,-3.211895716235543190e+226,1.849080921825138880e+225
-1.135541799940850699e+222,0.000000000000000000e+00,3.392218952771753562e+220
-4.215866567951950173e+227,-1.751110006254900352e+225,1.268446924701941174e+226
-1.918402285542591037e+234,-9.181892857593329835e+231,5.777918715271723992e+232
-1.387740882161634638e+250,-9.129934433705361424e+248,4.525089560527198669e+248
-2.717437750745134605e+252,-1.820473229400282089e+251,8.865512141055164336e+250
-3.155154022445829074e+192,-1.738077448041876550e+192,9.761351226919609256e+190
